category,subcategory,component,tracking,method,cost,cost_units,quantity,quantity_units,life_years,remaining_life,service_date,source_page
Painting,Exterior,Painting Building 10,Logistical,Fixed,4.0,$/SF,11799,SF,10,2:06,,124
Painting,Exterior,Painting Building 12,Logistical,Fixed,4.0,$/SF,11799,SF,10,2:06,,124
Painting,Exterior,Painting Building 13,Logistical,Fixed,4.0,$/SF,11799,SF,10,2:06,,124
Signage,Monument,Monument Sign/Wall,Logistical,Fixed,2000.0,Allow,1,Allow,20,2:06,,123
Structural,Metal,Carport Support Posts-Beams,Logistical,Fixed,5000.0,Allow,1,Allow,10,2:06,,69
Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,One Time,25000.0,Allow,1,Allow,3,3:06,,59
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,3:06,,64
Exterior Surfaces,Siding,Stucco Siding Repair,Logistical,Fixed,10000.0,Allow,1,Allow,7,3:06,,149
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Logistical,Fixed,2500.0,Each,23,Each,20,3:06,,71
Fences-Walls-Gates,Chain Link,Chain Link Fence,Logistical,Fixed,2500.0,Allow,1,Allow,10,3:06,,70
Fences-Walls-Gates,Renovation,Wooden Perimeter Fence,Logistical,Fixed,5000.0,Allow,1,Allow,5,3:06,,158
Fire Safety,Equipment,Chimney Flues-Caps-Spark Arrestors,Logistical,Fixed,5000.0,Allow,1,Allow,5,3:06,,73
Renovation,Shop,Clubhouse Maintenance Shop Remodel,Logistical,Fixed,2500.0,Allow,1,Allow,10,3:06,,91
Signage,Misc,Misc and Parking Signs,Logistical,Fixed,1000.0,Allow,1,Allow,10,3:06,,122
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,4:06,,64
Equipment,Pool,Pool Misc Pipes Valves,Logistical,Fixed,1500.0,Allow,1,Allow,7,4:06,,139
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,4:06,,157
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Logistical,Fixed,2500.0,Each,23,Each,20,4:06,,71
Roofing,Drainage,Gutters-Downspouts,Logistical,Fixed,20000.0,Allow,1,Allow,5,4:06,,113
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,5:06,,64
Equipment,Pool,Pool Filter Hayward,Logistical,Fixed,1300.0,Each,1,Each,15,5:06,,137
Equipment,Pool,Pool Rails-Ladder,Logistical,Fixed,250.0,Each,3,Each,15,5:06,,141
Equipment,Pool,Pool Room Compressor,Logistical,Fixed,500.0,Each,1,Each,15,5:06,,143
Exterior Surfaces,Siding,Clubhouse Siding,Logistical,Fixed,12.0,$/SF,7500,SF,30,5:06,,94
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Logistical,Fixed,2500.0,Each,23,Each,20,5:06,,71
Landscape,Renovation,Landscape Rock,Logistical,Fixed,2500.0,Allow,1,Allow,8,5:06,,117
Plumbing,Equipment,Clubhouse Hot Water Heaters-Expansion,Logistical,Fixed,1200.0,Each,2,Each,12,5:06,,88
Renovation,Shower Room,Clubhouse Pool Room-Shower Remodel,Logistical,Fixed,5000.0,Allow,1,Allow,20,5:06,,92
Renovation,Wood,Sauna Remodel,Logistical,Fixed,2500.0,Job,1,Job,20,5:06,,145
Roofing,Metal,Carport Roofs,Logistical,Fixed,12.0,$/SF,4280,SF,25,5:06,,68
Equipment,Pool,Pool Pump Hayward,Logistical,Fixed,750.0,Each,1,Each,15,6:06,,140
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,6:06,,157
Exterior Surfaces,Siding,Corrugated Balcony Walls,Logistical,Fixed,5000.0,Allow,1,Allow,10,7:06,,103
Roofing,Metal,Carport Roofs,Logistical,Fixed,12.0,$/SF,4280,SF,25,7:06,,68
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,8:06,,157
Flooring,Carpet,Clubhouse Carpet,Logistical,Fixed,9.0,$/SF,4000,SF,12,8:06,,81
Flooring,Tile,Clubhouse Tile Floor,Logistical,Fixed,16.0,$/SF,1000,SF,20,8:06,,99
Flooring,Tile,Pool Area Tile Exterior,Logistical,Fixed,16.0,$/SF,400,SF,20,8:06,,131
Painting,Exterior Metal,Pool Area Metal Rail Fence-Gate-Painting,Logistical,Fixed,15.0,$/LF,200,LF,10,8:06,,130
Renovation,Bar Service,Clubhouse Bar Remodel,Logistical,Fixed,5000.0,Job,1,Job,20,8:06,,76
Renovation,Bathrooms,Clubhouse Bathroom Remodel,Logistical,Fixed,6000.0,Each,2,Each,20,8:06,,78
Renovation,Kitchenette,Fitness Room Kitchenette Remodel,Logistical,Fixed,3500.0,Allow,1,Allow,20,8:06,,111
Renovation,Laundry,Laundry Room Remodel,Logistical,Fixed,3500.0,Allow,1,Allow,20,8:06,,118
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,9:06,,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,9:06,,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,9:06,,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,9:06,,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,9:06,,60
Doors-Windows,Renovation,Raise and Replace Windows,Logistical,One Time,17233.0,Allow,1,Allow,30,9:06,,Board Plan
Painting,Exterior,Painting Building 5,Logistical,Fixed,4.0,$/SF,14409,SF,10,9:06,,124
Roofing,Metal,Carport Roofs,Logistical,Fixed,12.0,$/SF,4280,SF,25,9:06,,68
Roofing,Shingle,Clubhouse Roof,Logistical,Fixed,12.0,$/SF,4500,SF,25,9:06,,93
Doors-Windows,Raised Panel,Clubhouse Bathroom/Interior Doors,Logistical,Fixed,5000.0,Allow,1,Allow,10,10:06,,79
Doors-Windows,Renovation,Clubhouse/Fitness Windows,Logistical,Fixed,4500.0,Allow,1,Allow,10,10:06,,100
Doors-Windows,Sliders,Clubhouse Sliding Glass Doors,Logistical,Fixed,4000.0,Allow,1,Allow,10,10:06,,95
Doors-Windows,Window Treatment,Clubhouse Blinds,Logistical,Fixed,1000.0,Allow,1,Allow,10,10:06,,80
Doors-Windows,Wood and Metal,Clubhouse Glass Doors,Logistical,Fixed,3500.0,Allow,1,Allow,10,10:06,,87
Equipment,Mail,Mail Boxes,Logistical,Fixed,10000.0,Job,1,Job,25,10:06,,120
Equipment,Pool,Pool Chemical Controller-Rola Chem,Logistical,Fixed,2500.0,Job,1,Job,15,10:06,,134
Exterior Surfaces,Pool,Pool Coping,Logistical,Fixed,35.0,$/LF,120,LF,20,10:06,,135
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,10:06,,157
Fences-Walls-Gates,Metal,Pool Area Metal Rail Fence-Gate,Logistical,Fixed,75.0,$/LF,200,LF,25,10:06,,129
Painting,Interior,Clubhouse Interior Painting,Logistical,Fixed,1.75,$/SF,20000,SF,12,10:06,,90
Roofing,Elastomeric,Garage Flat Roof,Logistical,Fixed,300000.0,Allow,1,Allow,10,10:06,,112
Roofing,Shingle,Unit Building Shingle Roofs,Logistical,Fixed,12.0,$/SF,20000,SF,30,10:06,,152
Roofing,Metal,Carport Roofs,Logistical,Fixed,12.0,$/SF,4280,SF,25,11:06,,68
Roofing,Shingle,Unit Building Shingle Roofs,Logistical,Fixed,12.0,$/SF,20000,SF,30,11:06,,152
Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,25000.0,Allow,1,Allow,3,12:06,,59
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,12:06,,157
Roofing,Shingle,Unit Building Shingle Roofs,Logistical,Fixed,12.0,$/SF,20000,SF,30,12:06,,152
Renovation,Plaster,Pool Resurface,Logistical,Fixed,12.0,$/SF,1200,SF,15,13:06,,142
Roofing,Metal,Carport Roofs,Logistical,Fixed,12.0,$/SF,4280,SF,25,13:06,,68
Roofing,Shingle,Unit Building Shingle Roofs,Logistical,Fixed,12.0,$/SF,20000,SF,30,13:06,,152
Asphalt,Top Coat,Asphalt Seal Coat,Logistical,One Time,0.4,$/SF,100000,SF,5,14:06,,62
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,14:06,,157
Roofing,Shingle,Unit Building Shingle Roofs,Logistical,Fixed,12.0,$/SF,20000,SF,30,14:06,,152
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,16:06,,157
Concrete,Pool,Pool Area Concrete Deck,Logistical,Fixed,12.0,$/SF,1592,SF,25,18:06,,128
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,18:06,,157
Asphalt,Top Coat,Asphalt Seal Coat,Logistical,One Time,0.4,$/SF,100000,SF,5,19:06,,62
Exterior Surfaces,Renovation,Wood Siding,Logistical,Fixed,12.0,$/SF,12500,SF,30,20:06,,157
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,25:06,,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,26:06,,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,27:06,,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,28:06,,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,29:06,,61
Asphalt,Top Coat,Asphalt Seal Coat,Logistical,Fixed,0.4,$/SF,100000,SF,5,30:06,,62
